head_neck_x,head_neck_y
650.2934020996094,782.3541442871094
650.2581237792969,782.3548889160156
650.2402954101562,782.3801513671875
650.1757690429688,782.3937622070313
650.1680847167969,782.4439636230469
650.2003234863281,782.6297790527344
650.2771850585938,782.8345642089844
650.3909973144531,783.0868103027344
650.5348449707031,783.3313049316406
650.7034851074219,783.5568359375
650.8816955566406,783.7956176757813
651.0638916015625,784.0266357421875
651.2215270996094,784.2893493652343
651.4424255371093,784.5521362304687
651.671044921875,784.7732055664062
651.9073425292969,784.8076354980469
652.1222595214844,784.755419921875
652.2361572265625,784.6552673339844
652.2848083496094,784.5277770996094
652.3514282226563,784.4148315429687
652.394287109375,784.2571716308594
652.4117248535156,784.1153076171875
652.4569641113281,783.9953186035157
652.5256042480469,783.8253112792969
652.5716247558594,783.6736389160156
652.2187683105469,783.3753601074219
651.8077270507813,783.110205078125
651.4272705078125,782.8118225097656
651.4766235351562,782.78330078125
651.4750427246094,782.7542724609375
651.4991149902344,782.7835632324219
651.4899108886718,782.7987609863281
651.4841674804687,782.812548828125
